FIPS,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
21079,16912,16912,16931,16813,16923,16915,19,-118,110,-8,36,169,176,174,19,144,146,160,17,25,30,14,0,-1,-1,-1,2,-150,82,-10,2,-151,81,-11,0,8,-1,-11,109,109,109,109,109,10.016595543,10.43395779,10.284295762000001,8.5348506401,8.6554422575,9.4568236893,1.4817449028,1.7785155324000002,0.8274720728,-0.059269796,-0.059283851,-0.059105147999999996,-8.890469417,4.8612757885,-0.591051481,-8.949739212999999,4.8019919374,-0.6501566289999999
21081,24662,24662,24689,24718,24566,24753,27,29,-152,187,86,353,414,393,30,192,205,197,56,161,209,196,0,-1,0,0,-28,-144,-369,-23,-28,-145,-369,-23,-1,13,8,14,457,457,457,457,457,14.289473152000001,16.800584368,15.937062795,7.7721780315,8.3191299408,7.988807559,6.5172951201,8.4814544274,7.9482552363,-0.040480094,0.0,0.0,-5.8291335239999995,-14.97443389,-0.9327034209999999,-5.869613618,-14.97443389,-0.9327034209999999
21083,37121,37121,37205,37503,37556,37451,84,298,53,-105,118,520,502,499,89,457,413,402,29,63,89,97,15,73,76,78,41,183,-111,-241,56,256,-35,-163,-1,-21,-1,-39,548,548,548,548,548,13.920865235,13.3761441,13.305424827000001,12.23429887,11.004676321,10.71899956,1.686566365,2.3714677787,2.586425267,1.9542753119,2.0250736088,2.0798058848,4.899073727,-2.957673297,-6.4260669,6.8533490389,-0.9325996879999999,-4.346261016000001
21085,25746,25746,25790,25867,25891,25997,44,77,24,106,77,307,301,292,90,302,294,271,-13,5,7,21,0,-3,-3,-3,55,89,23,93,55,86,20,90,2,-14,-3,-5,768,768,768,768,768,11.886094818,11.631052204000001,11.255010792,11.692510212,11.360562618,10.445575085,0.1935846062,0.2704895862,0.8094357077,-0.116150764,-0.11592410800000001,-0.115633673,3.4458059894999997,0.8887514973999999,3.5846438483,3.3296552258,0.772827389,3.4690101758
21087,11258,11260,11226,11199,11295,11180,-34,-27,96,-115,17,118,103,112,44,128,123,125,-27,-10,-20,-13,2,7,7,7,-11,-20,109,-104,-9,-13,116,-97,2,-4,0,-5,113,113,113,113,113,10.523968785,9.1579976883,9.9666295884,11.415830545999999,10.936249667,11.123470523,-0.8918617609999999,-1.7782519780000001,-1.156840934,0.624303233,0.6223881924,0.6229143493,-1.7837235230000001,9.691473281799999,-9.254727475,-1.15942029,10.313861474,-8.631813126
21089,36910,36914,36909,36870,36757,36519,-5,-39,-113,-238,88,404,372,385,95,424,461,441,-7,-20,-89,-56,2,9,9,9,2,-7,-31,-192,4,2,-22,-183,-2,-21,-2,1,454,454,454,454,454,10.951625800999999,10.104988659,10.508215514,11.493785495,12.522580032,12.036683225,-0.542159693,-2.417591373,-1.528467711,0.2439718619,0.2444755321,0.2456465964,-0.189755893,-0.842082388,-5.240460724,0.0542159693,-0.597606856,-4.994814127
21091,8565,8565,8556,8576,8662,8687,-9,20,86,25,30,102,114,109,31,75,77,74,-1,27,37,35,0,0,0,0,-7,-3,49,-13,-7,-3,49,-13,-1,-4,0,3,90,90,90,90,90,11.907541443,13.226592412,12.565565739,8.7555451786,8.9337510152,8.530751051900001,3.1519962643,4.2928413969,4.0348146867,0.0,0.0,0.0,-0.35022180700000005,5.6851142824,-1.498645455,-0.35022180700000005,5.6851142824,-1.498645455
21093,105543,105549,106996,107463,107153,108191,1447,467,-310,1038,389,1796,1605,1655,242,823,851,865,147,973,754,790,130,114,512,267,1110,-622,-1603,-53,1240,-508,-1091,214,60,2,27,34,3256,3256,3258,3257,3257,16.74912221,14.95694636,15.370755628,7.675126714199999,7.9304432102,8.0336577755,9.0739954956,7.0265031498,7.3370978526999995,1.0631402739,4.7713124837,2.4797533249,-5.800642547000001,-14.93830842,-0.492235679,-4.7375022730000005,-10.16699594,1.9875176462000002
21095,29278,29278,29240,29176,28613,28499,-38,-64,-563,-114,106,420,373,370,119,395,380,386,-13,25,-7,-16,3,14,13,13,-27,-106,-577,-124,-24,-92,-564,-111,-1,3,8,13,627,627,627,627,627,14.379622021,12.90903113,12.956996777999999,13.523692139000001,13.151291768,13.517299342000001,0.8559298822,-0.242260638,-0.5603025629999999,0.47932073399999997,0.4499126131,0.4552458327,-3.629142701,-19.96919829,-4.342344866,-3.149821967,-19.51928568,-3.887099033
21097,18846,18849,18817,18660,18576,18518,-32,-157,-84,-58,45,201,196,189,60,223,200,194,-15,-22,-4,-5,0,-3,-2,-2,-16,-123,-80,-58,-16,-126,-82,-60,-1,-9,2,7,275,275,275,275,275,10.726578968,10.527446557000001,10.190327277,11.900632388,10.742292405,10.459912654,-1.174053419,-0.214845848,-0.269585378,-0.160098194,-0.107422924,-0.107834151,-6.564025936,-4.296916962,-3.127190381,-6.724124129,-4.404339886,-3.2350245319999997
21099,18199,18199,18214,18318,18424,18573,15,104,106,149,77,253,251,254,69,172,174,190,8,81,77,64,0,0,0,0,8,27,30,90,8,27,30,90,-1,-4,-1,-5,227,227,227,227,227,13.85087047,13.662838169,13.730843040999998,9.416402058500001,9.4714495673,10.271103062,4.4344684113,4.1913886016,3.4597399789,0.0,0.0,0.0,1.4781561371,1.6330085461000001,4.8652593454,1.4781561371,1.6330085461000001,4.8652593454
