IV,Variables
0.03315343023647266,MIA_MR1985_LB
0.03315343023647266,MIA_MR1985_UB
0.013831296359326844,MIA_MR1990_VAL
0.01666931599768945,MIA_MR1990_LB
0.01666931599768945,MIA_MR1990_UB
0.007397138485923022,MIA_MR1995_VAL
0.008608419432040713,MIA_MR1995_LB
0.008608419432040713,MIA_MR1995_UB
0.0369300574905109,MIA_MR2000_VAL
0.010261778317328645,MIA_MR2000_LB
0.010261778317328645,MIA_MR2000_UB
0.030979895884468468,MIA_MR2005_VAL
0.012928111432305248,MIA_MR2005_LB
0.012928111432305248,MIA_MR2005_UB
0.03217388599587208,MIA_MR2010_VAL
0.00853030847638477,MIA_MR2010_LB
0.00853030847638477,MIA_MR2010_UB
0.08363840725565731,MIA_PC1980_2010
0.20351718159398932,ONC_MR1980_VAL
0.21832767483089996,ONC_MR1980_LB
0.21832767483089996,ONC_MR1980_UB
0.259938584764079,ONC_MR1985_VAL
0.29143416469267464,ONC_MR1985_LB
0.29143416469267464,ONC_MR1985_UB
0.30920265032612,ONC_MR1990_VAL
0.35015413618120694,ONC_MR1990_LB
0.35015413618120694,ONC_MR1990_UB
0.33247365235794524,ONC_MR1995_VAL
0.37564040458584336,ONC_MR1995_LB
0.37564040458584336,ONC_MR1995_UB
0.38112390793667433,ONC_MR2000_VAL
0.41281904366619065,ONC_MR2000_LB
0.41281904366619065,ONC_MR2000_UB
0.41420356500106903,ONC_MR2005_VAL
0.4528085572265227,ONC_MR2005_LB
0.4528085572265227,ONC_MR2005_UB
0.4642986790024679,ONC_MR2010_VAL
0.5211897019932841,ONC_MR2010_LB
0.5211897019932841,ONC_MR2010_UB
0.31708560119481627,ONC_PC1980_2010
0.04695765719433832,TIA_MR1980_VAL
0.04889440757962757,TIA_MR1980_LB
0.04889440757962757,TIA_MR1980_UB
0.06330205108758213,TIA_MR1985_VAL
0.07239796603034274,TIA_MR1985_LB
0.07239796603034274,TIA_MR1985_UB
0.10630918840403678,TIA_MR1990_VAL
0.11644972168797252,TIA_MR1990_LB
0.11644972168797252,TIA_MR1990_UB
0.13723164732701001,TIA_MR1995_VAL
0.1550697614767724,TIA_MR1995_LB
0.1550697614767724,TIA_MR1995_UB
0.1784467222070485,TIA_MR2000_VAL
0.19043898162987632,TIA_MR2000_LB
0.19043898162987632,TIA_MR2000_UB
0.22872815092808774,TIA_MR2005_VAL
0.2440023097286328,TIA_MR2005_LB
0.2440023097286328,TIA_MR2005_UB
0.23687920896654935,TIA_MR2010_VAL
0.2685169774812872,TIA_MR2010_LB
0.2685169774812872,TIA_MR2010_UB
0.18517036222830346,TIA_PC1980_2010
0.06925173472126014,UIA_MR1980_VAL
0.07555295425627662,UIA_MR1980_LB
0.07555295425627662,UIA_MR1980_UB
0.08615329213736209,UIA_MR1985_VAL
0.09829843040213183,UIA_MR1985_LB
0.09829843040213183,UIA_MR1985_UB
0.12231856770267505,UIA_MR1990_VAL
0.14045822968301652,UIA_MR1990_LB
0.14045822968301652,UIA_MR1990_UB
0.14087177499595907,UIA_MR1995_VAL
0.19023506293746065,UIA_MR1995_LB
0.19023506293746065,UIA_MR1995_UB
0.1613200111467248,UIA_MR2000_VAL
0.18068718826665514,UIA_MR2000_LB
0.18068718826665514,UIA_MR2000_UB
0.19912516296403016,UIA_MR2005_VAL
0.23647368286509127,UIA_MR2005_LB
0.23647368286509127,UIA_MR2005_UB
0.23567692853042418,UIA_MR2010_VAL
0.26647499235964933,UIA_MR2010_LB
0.26647499235964933,UIA_MR2010_UB
0.0694362002798762,UIA_PC1980_2010
0.09799212979431732,SHI_MR1980_VAL
0.11296340592068879,SHI_MR1980_LB
0.11296340592068879,SHI_MR1980_UB
0.12191170299552215,SHI_MR1985_VAL
0.14570163989908982,SHI_MR1985_LB
0.14570163989908982,SHI_MR1985_UB
0.14973877748421482,SHI_MR1990_VAL
0.17064814372091391,SHI_MR1990_LB
0.17064814372091391,SHI_MR1990_UB
0.19355298630540702,SHI_MR1995_VAL
0.1958070769039585,SHI_MR1995_LB
0.1958070769039585,SHI_MR1995_UB
0.21312173007987806,SHI_MR2000_VAL
0.22433215402631704,SHI_MR2000_LB
0.22433215402631704,SHI_MR2000_UB
0.25976184132249186,SHI_MR2005_VAL
0.26964094972582187,SHI_MR2005_LB
0.26964094972582187,SHI_MR2005_UB
0.2924839919126252,SHI_MR2010_VAL
0.32902038781435516,SHI_MR2010_LB
0.32902038781435516,SHI_MR2010_UB
0.09702780314431304,SHI_PC1980_2010
0.07806403415477245,FON_MR1980_VAL
0.04556042962580274,FON_MR1980_LB
0.04556042962580274,FON_MR1980_UB
0.09062906710262474,FON_MR1985_VAL
0.0672181430375958,FON_MR1985_LB
0.0672181430375958,FON_MR1985_UB
0.08513890414236902,FON_MR1990_VAL
0.07636171811802467,FON_MR1990_LB
0.07636171811802467,FON_MR1990_UB
0.08306731034977755,FON_MR1995_VAL
0.056707476405608644,FON_MR1995_LB
0.056707476405608644,FON_MR1995_UB
0.09695241231718577,FON_MR2000_VAL
0.08041026587180393,FON_MR2000_LB
0.08041026587180393,FON_MR2000_UB
0.123962592745743,FON_MR2005_VAL
0.09681537341008034,FON_MR2005_LB
0.09681537341008034,FON_MR2005_UB
0.11893800740936229,FON_MR2010_VAL
0.09892949854236523,FON_MR2010_LB
0.09892949854236523,FON_MR2010_UB
0.021452656985743956,FON_PC1980_2010
0.6199381392811265,ACA_3_1980
0.6179316368449435,ACA_3_1981
0.6515032684001875,ACA_3_1982
0.6671636212669482,ACA_3_1983
0.7154189004300531,ACA_3_1984
0.7101651238435532,ACA_3_1985
0.7681900364864793,ACA_3_1986
0.823538048238821,ACA_3_1987
0.8633360689190417,ACA_3_1988
0.8533502325924875,ACA_3_1989
0.9453861056055518,ACA_3_1990
0.9573012725959462,ACA_3_1991
0.9843957997476264,ACA_3_1992
1.0277252996319595,ACA_3_1993
1.0605401876566825,ACA_3_1994
1.0920214457933417,ACA_3_1995
1.1366561645143154,ACA_3_1996
1.1631995661744465,ACA_3_1997
1.1604793343844098,ACA_3_1998
1.272161137432054,ACA_3_1999
1.2300733473808538,ACA_3_2000
1.2446870343356644,ACA_3_2001
1.332523174347986,ACA_3_2002
1.3113949001432472,ACA_3_2003
1.3725920437726775,ACA_3_2004
1.355618289570239,ACA_3_2005
1.3779021830223428,ACA_3_2006
1.4237828893341715,ACA_3_2007
1.4363712105965611,ACA_3_2008
1.4575814010677195,ACA_3_2009
1.4623565228942021,ACA_3_2010
1.496094807382308,ACA_3_2011
1.4174002163273256,ACA_3_2012
0.6507101356288533,ACA_1_1980
0.6425738266222666,ACA_1_1981
0.6608816360133134,ACA_1_1982
0.6810449365302822,ACA_1_1983
0.7606873160777681,ACA_1_1984
0.7503054403304115,ACA_1_1985
0.7892681638459096,ACA_1_1986
0.8059046398665212,ACA_1_1987
0.8396968948708285,ACA_1_1988
0.912810887449494,ACA_1_1989
0.9803580225876674,ACA_1_1990
0.9673953702858769,ACA_1_1991
1.0166709925664248,ACA_1_1992
1.038521762356989,ACA_1_1993
1.043811764079501,ACA_1_1994
1.1179396239180805,ACA_1_1995
1.1079738257905944,ACA_1_1996
1.137500086383942,ACA_1_1997
1.215503676074085,ACA_1_1998
1.2576629450450638,ACA_1_1999
1.215903418287004,ACA_1_2000
1.2848793134202594,ACA_1_2001
1.3267868710130342,ACA_1_2002
1.337818430853051,ACA_1_2003
1.3706302490677187,ACA_1_2004
1.3692253839804498,ACA_1_2005
1.3516367074355873,ACA_1_2006
1.399878362152645,ACA_1_2007
1.4067071282514867,ACA_1_2008
1.4518303582352383,ACA_1_2009
1.4699339081801275,ACA_1_2010
1.4462178844440912,ACA_1_2011
1.4232315057850262,ACA_1_2012
0.6277608134336252,ACA_2_1980
0.6126543271433915,ACA_2_1981
0.6591391029014881,ACA_2_1982
0.6544552592930416,ACA_2_1983
0.7382881630697551,ACA_2_1984
0.7200093348561127,ACA_2_1985
0.7659756886818729,ACA_2_1986
0.7677608199956969,ACA_2_1987
0.7756717505676035,ACA_2_1988
0.7602250409762663,ACA_2_1989
0.8016371099453654,ACA_2_1990
0.9061090740119896,ACA_2_1991
0.9379767417272051,ACA_2_1992
0.9673980899349736,ACA_2_1993
0.9829749623014639,ACA_2_1994
1.0185679137531103,ACA_2_1995
1.0640126608797416,ACA_2_1996
1.1088904680923481,ACA_2_1997
1.1272431451075775,ACA_2_1998
1.170312013055881,ACA_2_1999
1.2162805171606748,ACA_2_2000
1.2538603699181792,ACA_2_2001
1.2822762793388267,ACA_2_2002
1.2914486679201564,ACA_2_2003
